property_id,year_built,base_price,address,town,state,property_style,total_units,owned_at_start,acquisition_basis,acquisition_date
550,1900,798895.03,M_243702_911745,Lynn,MA,Three-Family Residential,3,,,
551,1900,1018895.03,M_243630_911814,Lynn,MA,Three-Family Residential,3,,,
552,1890,800917.13,M_243676_911823,Lynn,MA,Two-Family Residential,2,,,
553,1880,902320.44,M_243685_911795,Lynn,MA,Three-Family Residential,3,,,
554,1920,800441.99,M_243635_911801,Lynn,MA,Three-Family Residential,3,,,
555,1900,889060.77,M_243594_911875,Lynn,MA,Three-Family Residential,3,,,
556,1900,904972.38,M_243607_911879,Lynn,MA,Three-Family Residential,3,,,
557,1900,1075248.62,M_243636_911890,Lynn,MA,Three-Family Residential,3,,,
558,1905,820552.49,M_243679_911881,Lynn,MA,Three-Family Residential,3,,,
559,1910,1006740.33,M_243684_911867,Lynn,MA,Three-Family Residential,3,,,
560,1920,913513.81,M_243660_911867,Lynn,MA,Two-Family Residential,2,,,
561,1910,831381.22,M_243573_911936,Lynn,MA,Three-Family Residential,3,,,
562,1910,929392.27,M_243616_911962,Lynn,MA,Three-Family Residential,3,,,
563,1910,844751.38,M_243628_911966,Lynn,MA,Three-Family Residential,3,,,
564,1910,953922.65,M_243649_911966,Lynn,MA,Three-Family Residential,3,,,
565,1910,815138.12,M_243654_911953,Lynn,MA,Three-Family Residential,3,,,
566,1900,863425.41,M_243626_911935,Lynn,MA,Three-Family Residential,3,,,
567,1900,843425.41,M_243614_911931,Lynn,MA,Three-Family Residential,3,,,
568,1900,866961.33,M_243603_911927,Lynn,MA,Three-Family Residential,3,,,
569,1900,873591.16,M_243591_911920,Lynn,MA,Three-Family Residential,3,,,
570,1910,920000.00,M_243612_912074,Lynn,MA,Three-Family Residential,3,,,
571,1900,811911.60,M_243578_912012,Lynn,MA,Two-Family Residential,2,,,
572,1900,835723.76,M_243571_912024,Lynn,MA,Two-Family Residential,2,,,
573,1900,779325.97,M_243560_912037,Lynn,MA,Two-Family Residential,2,,,
574,1900,1128508.29,M_243551_912049,Lynn,MA,Three-Family Residential,3,,,
575,1920,961657.46,M_243546_911998,Lynn,MA,Three-Family Residential,3,,,
576,1880,966961.33,M_243979_912798,Lynn,MA,Two-Family Residential,2,,,
577,1900,636795.58,M_244002_912756,Lynn,MA,Two-Family Residential,2,,,
578,1910,1161215.47,M_243792_912480,Lynn,MA,Three-Family Residential,3,,,
579,1873,1141104.97,M_243807_912466,Lynn,MA,Apartments with Four to Eight Units,4,,,
580,1930,638342.54,M_243633_912657,Lynn,MA,Two-Family Residential,2,,,
581,1900,720441.99,M_243640_912643,Lynn,MA,Two-Family Residential,2,,,
582,1890,822983.43,M_243646_912630,Lynn,MA,Three-Family Residential,3,,,
583,1900,805524.86,M_243660_912605,Lynn,MA,Three-Family Residential,3,,,
584,2025,1146077.35,M_243637_912578,Lynn,MA,Two-Family Residential,2,,,
585,1925,810497.24,M_243566_912630,Lynn,MA,Two-Family Residential,2,,,
